# Program:featureCounts v2.0.1; Command:"featureCounts" "../GFP_2.bam" "-a" "Hd2_IVSPER2.randoms.gff" "-o" "GFP_2.Hd2_IVSPER2.randoms.counts.txt" "-t" "random loci" "-g" "locus" "-C" "-p" "-s" "0" "-O" "-T" "12" 
Geneid	Chr	Start	End	Strand	Length	../GFP_2.bam
random1	HD2_scaffold_6	4699611	4701449	+	1839	444
random2	HD2_scaffold_11	2077930	2079018	+	1089	241
random3	HD2_scaffold_1	28423600	28425327	+	1728	584
random4	HD2_scaffold_1	29139546	29141175	+	1630	611
random5	HD2_scaffold_4	11982158	12007589	+	25432	4886
random6	HD2_scaffold_2	6875849	6879103	+	3255	656
random7	HD2_scaffold_3	11948481	11964292	+	15812	2539
random8	HD2_scaffold_7	7185387	7187303	+	1917	406
random9	HD2_scaffold_4	320891	323361	+	2471	496
random10	HD2_scaffold_34	14864	41474	+	26611	14559
random11	HD2_scaffold_1	24639844	24653863	+	14020	2907
random12	HD2_scaffold_3	14691829	14693667	+	1839	513
random13	HD2_scaffold_5	2152136	2153224	+	1089	300
random14	HD2_scaffold_8	4422868	4424595	+	1728	405
random15	HD2_scaffold_3	17841947	17843576	+	1630	343
random16	HD2_scaffold_4	10390933	10416364	+	25432	5223
random17	HD2_scaffold_15	41053	44307	+	3255	3854
random18	HD2_scaffold_2	10399797	10415608	+	15812	3080
random19	HD2_scaffold_3	12333179	12335095	+	1917	412
random20	HD2_scaffold_7	9098808	9101278	+	2471	558
random21	HD2_scaffold_5	8240168	8266778	+	26611	5531
random22	HD2_scaffold_69	24293	38312	+	14020	11752
random23	HD2_scaffold_9	12096038	12097876	+	1839	573
random24	HD2_scaffold_12	3450643	3451731	+	1089	225
random25	HD2_scaffold_166	10779	12506	+	1728	464
random26	HD2_scaffold_1	12683527	12685156	+	1630	341
random27	HD2_scaffold_7	10527115	10552546	+	25432	5183
random28	HD2_scaffold_8	6367114	6370368	+	3255	768
random29	HD2_scaffold_3	8519535	8535346	+	15812	3117
random30	HD2_scaffold_5	7348523	7350439	+	1917	467
random31	HD2_scaffold_11	3346209	3348679	+	2471	495
random32	HD2_scaffold_6	14213298	14239908	+	26611	5142
random33	HD2_scaffold_4	5157868	5171887	+	14020	2962
random34	HD2_scaffold_184	11398	13236	+	1839	4549
random35	HD2_scaffold_3	19988206	19989294	+	1089	42
random36	HD2_scaffold_5	10674600	10676327	+	1728	381
random37	HD2_scaffold_7	4582875	4584504	+	1630	359
random38	HD2_scaffold_6	12645970	12671401	+	25432	5203
random39	HD2_scaffold_9	2926802	2930056	+	3255	677
random40	HD2_scaffold_9	8645337	8661148	+	15812	2852
random41	HD2_scaffold_9	3884271	3886187	+	1917	369
random42	HD2_scaffold_1	2878928	2881398	+	2471	320
random43	HD2_scaffold_2	6717051	6743661	+	26611	5188
random44	HD2_scaffold_5	12987261	13001280	+	14020	2256
random45	HD2_scaffold_2	13803593	13805431	+	1839	440
random46	HD2_scaffold_2	15159033	15160121	+	1089	243
random47	HD2_scaffold_1	1691112	1692839	+	1728	178
random48	HD2_scaffold_1	20761001	20762630	+	1630	373
random49	HD2_scaffold_11	1229674	1255105	+	25432	5449
random50	HD2_scaffold_4	1857674	1860928	+	3255	664
random51	HD2_scaffold_9	12094859	12110670	+	15812	4277
random52	HD2_scaffold_4	5282750	5284666	+	1917	456
random53	HD2_scaffold_5	8500201	8502671	+	2471	627
random54	HD2_scaffold_5	4746524	4773134	+	26611	5198
random55	HD2_scaffold_1	17326560	17340579	+	14020	3887
random56	HD2_scaffold_1	10839709	10841547	+	1839	413
random57	HD2_scaffold_4	9108072	9109160	+	1089	278
random58	HD2_scaffold_2	22626379	22628106	+	1728	410
random59	HD2_scaffold_8	12140787	12142416	+	1630	588
random60	HD2_scaffold_1	7137240	7162671	+	25432	4617
random61	HD2_scaffold_7	3903549	3906803	+	3255	741
random62	HD2_scaffold_8	9611160	9626971	+	15812	2965
random63	HD2_scaffold_6	10795884	10797800	+	1917	300
random64	HD2_scaffold_6	11490074	11492544	+	2471	474
random65	HD2_scaffold_10	6704855	6731465	+	26611	5572
random66	HD2_scaffold_11	584830	598849	+	14020	2853
random67	HD2_scaffold_376	8526	10364	+	1839	678
random68	HD2_scaffold_1	27199843	27200931	+	1089	252
random69	HD2_scaffold_8	1023712	1025439	+	1728	381
random70	HD2_scaffold_4	13026256	13027885	+	1630	326
random71	HD2_scaffold_5	11915450	11940881	+	25432	5237
random72	HD2_scaffold_10	2000434	2003688	+	3255	641
random73	HD2_scaffold_10	2301037	2316848	+	15812	3278
random74	HD2_scaffold_9	5923748	5925664	+	1917	507
random75	HD2_scaffold_8	5689450	5691920	+	2471	535
random76	HD2_scaffold_1	24595899	24622509	+	26611	5661
random77	HD2_scaffold_3	18247163	18261182	+	14020	2907
random78	HD2_scaffold_7	3088251	3090089	+	1839	428
random79	HD2_scaffold_8	9996649	9997737	+	1089	232
random80	HD2_scaffold_5	3195250	3196977	+	1728	391
random81	HD2_scaffold_6	8247175	8248804	+	1630	340
random82	HD2_scaffold_2	3547385	3572816	+	25432	4670
random83	HD2_scaffold_1	11874856	11878110	+	3255	661
random84	HD2_scaffold_4	8860739	8876550	+	15812	3198
random85	HD2_scaffold_1	19238879	19240795	+	1917	406
random86	HD2_scaffold_2	4435867	4438337	+	2471	458
random87	HD2_scaffold_1	1592295	1618905	+	26611	3705
random88	HD2_scaffold_9	3269937	3283956	+	14020	2886
random89	HD2_scaffold_7	11727714	11729552	+	1839	417
random90	HD2_scaffold_7	4794061	4795149	+	1089	176
random91	HD2_scaffold_7	10761775	10763502	+	1728	383
random92	HD2_scaffold_10	11261159	11262788	+	1630	163
random93	HD2_scaffold_3	2988316	3013747	+	25432	5820
random94	HD2_scaffold_12	1263231	1266485	+	3255	563
random95	HD2_scaffold_1	2978816	2994627	+	15812	2761
