# Program:featureCounts v2.0.1; Command:"featureCounts" "St3.bam" "-a" "Hd2_broadpeaks.gtf" "-o" "St3.Hd2_broadpeaks.counts.txt" "-t" "MACS2 peak" "-g" "peak" "-C" "-p" "-s" "0" "-O" "-T" "12" 
Geneid	Chr	Start	End	Strand	Length	St3.bam
Hd26	HD2_scaffold_1	13517317	13534392	+	17076	2217706
Hd38	HD2_scaffold_1	20656417	20681709	+	25293	3736626
Hd36	HD2_scaffold_1	20656417	20681709	+	25293	3736626
Hd50	HD2_scaffold_1	27241046	27259533	+	18488	464171
Hd49	HD2_scaffold_2	2117165	2135110	+	17946	1666079
IVSP_U37	HD2_scaffold_2	2728207	2758008	+	29802	2362197
Hd46	HD2_scaffold_2	2728207	2758008	+	29802	2362197
Hd43	HD2_scaffold_2	2728207	2758008	+	29802	2362197
Hd22	HD2_scaffold_2	5832207	5850065	+	17859	431213
Hd44.1	HD2_scaffold_2	16278981	16302690	+	23710	846738
Hd44.2	HD2_scaffold_2	16278981	16302690	+	23710	846738
Hd30	HD2_scaffold_3	410434	429813	+	19380	3904256
Hd48	HD2_scaffold_3	16679121	16706535	+	27415	1155463
Hd19	HD2_scaffold_4	6229498	6243248	+	13751	1176300
Hd41	HD2_scaffold_4	12113372	12135096	+	21725	3032426
Hd45.2	HD2_scaffold_4	12321418	12340715	+	19298	206601
Hd13	HD2_scaffold_5	5869105	5889886	+	20782	1400247
Hd40	HD2_scaffold_6	2983699	2997266	+	13568	130138
Hd9	HD2_scaffold_6	7223110	7254609	+	31500	1642870
IVSP_U42*	HD2_scaffold_6	9075600	9095671	+	20072	96240
Hd1	HD2_scaffold_6	11702950	11728752	+	25803	2602539
Hd31-34	HD2_scaffold_6	11862430	11878832	+	16403	2380127
IVSP_U38*	HD2_scaffold_7	4758477	4776797	+	18321	162182
Hd27	HD2_scaffold_7	6688177	6708677	+	20501	5894624
Hd52*	HD2_scaffold_7	6765613	6783734	+	18122	384550
Hd5	HD2_scaffold_7	7078958	7104504	+	25547	1905835
Hd47	HD2_scaffold_7	7894307	7912018	+	17712	715169
IVSPER-5	HD2_scaffold_7	9168108	9191030	+	22923	126123
IVSPER-3	HD2_scaffold_7	9243166	9287918	+	44753	5919739
IVSP_U39*	HD2_scaffold_7	11738062	11764025	+	25964	520686
IVSPER-4	HD2_scaffold_7	13176550	13216107	+	39558	785148
Hd7	HD2_scaffold_7	13965551	13978603	+	13053	767277
Hd2	HD2_scaffold_7	14079432	14106161	+	26730	3281844
Hd6	HD2_scaffold_7	14218171	14238167	+	19997	3044355
Hd20	HD2_scaffold_8	1934960	1956552	+	21593	837279
Hd8	HD2_scaffold_8	6818165	6837954	+	19790	1845834
Hd4	HD2_scaffold_8	7090110	7114242	+	24133	4919070
Hd17	HD2_scaffold_8	9006318	9026009	+	19692	1633145
Hd54*	HD2_scaffold_8	9208814	9228042	+	19229	1196361
Hd18	HD2_scaffold_8	9360612	9376778	+	16167	2222999
IVSP_U40*	HD2_scaffold_9	5714059	5757032	+	42974	950207
Hd39	HD2_scaffold_9	5714059	5757032	+	42974	950207
IVSP_U41*	HD2_scaffold_9	7040265	7060018	+	19754	128014
Hd23.2	HD2_scaffold_10	3545352	3561495	+	16144	259856
Hd23.1	HD2_scaffold_10	3587203	3605012	+	17810	673204
Hd25	HD2_scaffold_10	9393559	9412007	+	18449	1298904
Hd10	HD2_scaffold_11	447712	465323	+	17612	1626317
Hd11	HD2_scaffold_11	764311	783916	+	19606	2056439
Hd16	HD2_scaffold_11	2257264	2292899	+	35636	6790595
Hd12	HD2_scaffold_11	2257264	2292899	+	35636	6790595
Hd29	HD2_scaffold_11	3139131	3193136	+	54006	4945326
IVSPER-2	HD2_scaffold_11	3139131	3193136	+	54006	4945326
Hd24	HD2_scaffold_11	3139131	3193136	+	54006	4945326
Hd33	HD2_scaffold_11	3229681	3277203	+	47523	3265422
Hd15	HD2_scaffold_11	3229681	3277203	+	47523	3265422
IVSPER-1	HD2_scaffold_11	3229681	3277203	+	47523	3265422
Hd14	HD2_scaffold_11	3753870	3770377	+	16508	1060625
Hd32	HD2_scaffold_11	3807216	3823379	+	16164	1942333
Hd42	HD2_scaffold_11	6039490	6052307	+	12818	372492
Hd21	HD2_scaffold_11	6067122	6086904	+	19783	890367
Hd53*	HD2_scaffold_11	6177710	6199505	+	21796	641910
Hd3	HD2_scaffold_11	6678585	6701155	+	22571	4963517
Hd37	HD2_scaffold_11	6779687	6795693	+	16007	527827
Hd28	HD2_scaffold_12	305632	316324	+	10693	121561
Hd35	HD2_scaffold_12	2935430	2954029	+	18600	2443455
