# Program:featureCounts v2.0.1; Command:"featureCounts" "../U16_4.bam" "-a" "Hd2_EVErep.randoms.gff" "-o" "U16_4.Hd2_EVErep.randoms.counts.txt" "-t" "random loci" "-g" "locus" "-C" "-p" "-s" "0" "-O" "-T" "12" 
Geneid	Chr	Start	End	Strand	Length	../U16_4.bam
random1	HD2_scaffold_332	738	5755	+	5018	374
random2	HD2_scaffold_7	5992302	5995965	+	3664	695
random3	HD2_scaffold_3	20241332	20245069	+	3738	522
random4	HD2_scaffold_257	6466	12252	+	5787	1205
random5	HD2_scaffold_3	5794084	5799348	+	5265	1100
random6	HD2_scaffold_2	21237658	21241766	+	4109	871
random7	HD2_scaffold_8	9466517	9470675	+	4159	940
random8	HD2_scaffold_17	41640	45817	+	4178	592
random9	HD2_scaffold_4	1326821	1329829	+	3009	748
random10	HD2_scaffold_10	4273299	4278129	+	4831	995
random11	HD2_scaffold_12	4164660	4168823	+	4164	690
random12	HD2_scaffold_4	14377630	14387302	+	9673	1957
random13	HD2_scaffold_193	6282	10721	+	4440	666
random14	HD2_scaffold_1	16330332	16338284	+	7953	1484
random15	HD2_scaffold_1	26011805	26013855	+	2051	379
random16	HD2_scaffold_8	4637727	4641940	+	4214	883
random17	HD2_scaffold_7	13407392	13413148	+	5757	1114
random18	HD2_scaffold_5	7474149	7477642	+	3494	850
random19	HD2_scaffold_1	1437395	1455286	+	17892	3032
random20	HD2_scaffold_1	11675024	11689794	+	14771	2518
random21	HD2_scaffold_2	22594845	22598963	+	4119	856
random22	HD2_scaffold_1	12837097	12841098	+	4002	739
random23	HD2_scaffold_1	18940608	18944678	+	4071	689
random24	HD2_scaffold_4	8083503	8097215	+	13713	2808
random25	HD2_scaffold_7	13609309	13613811	+	4503	938
random26	HD2_scaffold_2	13909915	13917980	+	8066	1792
random27	HD2_scaffold_5	11100726	11114662	+	13937	2579
random28	HD2_scaffold_40	38274	48734	+	10461	427
random29	HD2_scaffold_2	10171607	10173143	+	1537	288
random30	HD2_scaffold_4	1228545	1235408	+	6864	1258
random31	HD2_scaffold_3	8848893	8856248	+	7356	1467
random32	HD2_scaffold_1	23429177	23439502	+	10326	1915
random33	HD2_scaffold_4	2668543	2676272	+	7730	1443
random34	HD2_scaffold_8	1636673	1642591	+	5919	1229
random35	HD2_scaffold_11	1919705	1924400	+	4696	1005
random36	HD2_scaffold_6	6457432	6461553	+	4122	998
random37	HD2_scaffold_3	1455178	1458539	+	3362	628
random38	HD2_scaffold_9	5388312	5392768	+	4457	956
random39	HD2_scaffold_2	13851103	13855276	+	4174	898
random40	HD2_scaffold_4	11494778	11501284	+	6507	1327
random41	HD2_scaffold_3	10820380	10829569	+	9190	1548
random42	HD2_scaffold_12	6363272	6370975	+	7704	1537
random43	HD2_scaffold_9	1690354	1696255	+	5902	1135
random44	HD2_scaffold_11	2422481	2426836	+	4356	893
random45	HD2_scaffold_1	2179662	2184358	+	4697	1166
