# Program:featureCounts v2.0.1; Command:"featureCounts" "St1.bam" "-a" "Hd2_provirus_loci_IVSPER2.gtf" "-o" "St1.Hd2_provirus_loci_IVSPER2.counts.txt" "-t" "EVE" "-g" "ID" "-C" "-p" "-s" "0" "-T" "12" 
Geneid	Chr	Start	End	Strand	Length	St1.bam
Hd26	HD2_scaffold_1	13523617	13528634	+	5018	12958
Hd38	HD2_scaffold_1	20666612	20670275	+	3664	9786
Hd36	HD2_scaffold_1	20670791	20674528	+	3738	9562
Hd50	HD2_scaffold_1	27247704	27253490	+	5787	13988
Hd49	HD2_scaffold_2	2124324	2129588	+	5265	12371
IVSP_U37	HD2_scaffold_2	2735040	2736878	+	1839	4882
Hd46	HD2_scaffold_2	2737536	2741644	+	4109	10026
Hd43	HD2_scaffold_2	2744162	2748320	+	4159	10500
Hd22	HD2_scaffold_2	5839467	5843644	+	4178	10355
Hd44.1	HD2_scaffold_2	16284645	16287653	+	3009	7737
Hd44.2	HD2_scaffold_2	16289605	16294435	+	4831	12661
Hd30	HD2_scaffold_3	419458	423621	+	4164	10685
Hd48	HD2_scaffold_3	16689745	16699417	+	9673	24453
Hd19	HD2_scaffold_4	6231095	6235534	+	4440	11392
Hd41	HD2_scaffold_4	12119882	12127834	+	7953	18576
Hd45.2	HD2_scaffold_4	12329917	12331967	+	2051	2013
Hd45.1	HD2_scaffold_4	15910208	15914421	+	4214	5823
Hd13	HD2_scaffold_5	5876265	5882021	+	5757	14427
Hd40	HD2_scaffold_6	2988772	2992265	+	3494	8437
Hd9	HD2_scaffold_6	7229774	7247665	+	17892	44487
IVSP_U42*	HD2_scaffold_6	9084542	9085630	+	1089	3269
Hd1	HD2_scaffold_6	11708977	11723747	+	14771	96584
Hd31-34	HD2_scaffold_6	11868292	11872410	+	4119	11283
IVSP_U38*	HD2_scaffold_7	4768418	4770145	+	1728	4225
Hd27	HD2_scaffold_7	6697648	6701649	+	4002	11365
Hd52*	HD2_scaffold_7	6772399	6776469	+	4071	10058
Hd5	HD2_scaffold_7	7084945	7098657	+	13713	34070
Hd47	HD2_scaffold_7	7900815	7905317	+	4503	11509
IVSPER-5	HD2_scaffold_7	9178274	9179903	+	1630	4452
IVSPER-3	HD2_scaffold_7	9252903	9278334	+	25432	62417
IVSP_U39*	HD2_scaffold_7	11747266	11750520	+	3255	11218
IVSPER-4	HD2_scaffold_7	13191258	13207069	+	15812	39358
Hd7	HD2_scaffold_7	13968918	13976983	+	8066	20116
Hd2	HD2_scaffold_7	14085672	14099608	+	13937	36777
Hd6	HD2_scaffold_7	14221056	14231516	+	10461	35828
similar to Hd2	HD2_scaffold_7	14388343	14389879	+	1537	5349
Hd20	HD2_scaffold_8	1942407	1949270	+	6864	16535
Hd8	HD2_scaffold_8	6823745	6831100	+	7356	17841
Hd4	HD2_scaffold_8	7097009	7107334	+	10326	22906
Hd17	HD2_scaffold_8	9012106	9019835	+	7730	18128
Hd54*	HD2_scaffold_8	9214207	9220125	+	5919	14208
Hd18	HD2_scaffold_8	9364794	9369489	+	4696	11588
IVSP_U40*	HD2_scaffold_9	5723866	5725782	+	1917	5044
Hd39	HD2_scaffold_9	5744955	5749076	+	4122	10062
IVSP_U41*	HD2_scaffold_9	7049476	7051946	+	2471	5939
Hd23.2	HD2_scaffold_10	3553203	3556564	+	3362	9456
Hd23.1	HD2_scaffold_10	3592527	3596983	+	4457	10961
Hd25	HD2_scaffold_10	9399172	9403345	+	4174	10541
Hd10	HD2_scaffold_11	453966	460472	+	6507	15539
Hd11	HD2_scaffold_11	768148	777337	+	9190	21557
Hd16	HD2_scaffold_11	2262941	2270644	+	7704	19108
Hd12	HD2_scaffold_11	2280031	2285932	+	5902	13802
Hd29	HD2_scaffold_11	3146273	3150628	+	4356	11391
IVSPER-2	HD2_scaffold_11	3155228	3181838	+	26611	65928
Hd24	HD2_scaffold_11	3182748	3187444	+	4697	12184
Hd33	HD2_scaffold_11	3234245	3238079	+	3835	9786
Hd15	HD2_scaffold_11	3249051	3254037	+	4987	12906
IVSPER-1	HD2_scaffold_11	3255266	3269285	+	14020	34641
Hd14	HD2_scaffold_11	3759577	3764772	+	5196	12149
Hd32	HD2_scaffold_11	3811943	3819858	+	7916	17697
Hd42	HD2_scaffold_11	6043764	6046920	+	3157	7554
Hd21	HD2_scaffold_11	6076348	6080715	+	4368	10691
Hd53*	HD2_scaffold_11	6184778	6190126	+	5349	14740
Hd3	HD2_scaffold_11	6685111	6695124	+	10014	23295
Hd37	HD2_scaffold_11	6786206	6789913	+	3708	8335
Hd28	HD2_scaffold_12	308843	313456	+	4614	11367
Hd35	HD2_scaffold_12	2941876	2945585	+	3710	10588
