# Program:featureCounts v2.0.1; Command:"featureCounts" "../St1.bam" "-a" "Hd2_EVErep.randoms.gff" "-o" "St1.Hd2_EVErep.randoms.counts.txt" "-t" "random loci" "-g" "locus" "-C" "-p" "-s" "0" "-O" "-T" "12" 
Geneid	Chr	Start	End	Strand	Length	../St1.bam
random1	HD2_scaffold_332	738	5755	+	5018	5347
random2	HD2_scaffold_7	5992302	5995965	+	3664	8065
random3	HD2_scaffold_3	20241332	20245069	+	3738	8833
random4	HD2_scaffold_257	6466	12252	+	5787	9279
random5	HD2_scaffold_3	5794084	5799348	+	5265	13094
random6	HD2_scaffold_2	21237658	21241766	+	4109	11086
random7	HD2_scaffold_8	9466517	9470675	+	4159	11345
random8	HD2_scaffold_17	41640	45817	+	4178	9380
random9	HD2_scaffold_4	1326821	1329829	+	3009	8318
random10	HD2_scaffold_10	4273299	4278129	+	4831	11962
random11	HD2_scaffold_12	4164660	4168823	+	4164	10602
random12	HD2_scaffold_4	14377630	14387302	+	9673	24561
random13	HD2_scaffold_193	6282	10721	+	4440	6481
random14	HD2_scaffold_1	16330332	16338284	+	7953	17745
random15	HD2_scaffold_1	26011805	26013855	+	2051	5238
random16	HD2_scaffold_8	4637727	4641940	+	4214	9867
random17	HD2_scaffold_7	13407392	13413148	+	5757	14319
random18	HD2_scaffold_5	7474149	7477642	+	3494	9770
random19	HD2_scaffold_1	1437395	1455286	+	17892	45127
random20	HD2_scaffold_1	11675024	11689794	+	14771	33289
random21	HD2_scaffold_2	22594845	22598963	+	4119	10338
random22	HD2_scaffold_1	12837097	12841098	+	4002	9709
random23	HD2_scaffold_1	18940608	18944678	+	4071	9722
random24	HD2_scaffold_4	8083503	8097215	+	13713	32646
random25	HD2_scaffold_7	13609309	13613811	+	4503	11335
random26	HD2_scaffold_2	13909915	13917980	+	8066	20457
random27	HD2_scaffold_5	11100726	11114662	+	13937	32689
random28	HD2_scaffold_40	38274	48734	+	10461	14245
random29	HD2_scaffold_2	10171607	10173143	+	1537	4217
random30	HD2_scaffold_4	1228545	1235408	+	6864	16363
random31	HD2_scaffold_3	8848893	8856248	+	7356	19251
random32	HD2_scaffold_1	23429177	23439502	+	10326	23232
random33	HD2_scaffold_4	2668543	2676272	+	7730	17604
random34	HD2_scaffold_8	1636673	1642591	+	5919	14083
random35	HD2_scaffold_11	1919705	1924400	+	4696	10864
random36	HD2_scaffold_6	6457432	6461553	+	4122	10585
random37	HD2_scaffold_3	1455178	1458539	+	3362	7813
random38	HD2_scaffold_9	5388312	5392768	+	4457	11691
random39	HD2_scaffold_2	13851103	13855276	+	4174	10358
random40	HD2_scaffold_4	11494778	11501284	+	6507	15834
random41	HD2_scaffold_3	10820380	10829569	+	9190	20935
random42	HD2_scaffold_12	6363272	6370975	+	7704	18488
random43	HD2_scaffold_9	1690354	1696255	+	5902	14461
random44	HD2_scaffold_11	2422481	2426836	+	4356	10943
random45	HD2_scaffold_1	2179662	2184358	+	4697	12738
random46	HD2_scaffold_2	11222532	11226366	+	3835	9388
random47	HD2_scaffold_2	11427185	11432171	+	4987	12624
random48	HD2_scaffold_3	13605758	13610953	+	5196	12670
random49	HD2_scaffold_25	40194	48109	+	7916	21780
random50	HD2_scaffold_2	4509436	4512592	+	3157	7509
random51	HD2_scaffold_3	3942190	3946557	+	4368	9953
random52	HD2_scaffold_3	20826448	20831796	+	5349	18311
random53	HD2_scaffold_11	1836705	1846718	+	10014	24892
random54	HD2_scaffold_9	12099655	12103362	+	3708	9448
random55	HD2_scaffold_6	5120063	5124676	+	4614	15868
random56	HD2_scaffold_9	6850485	6854194	+	3710	8564
random57	HD2_scaffold_9	5825005	5830022	+	5018	11932
random58	HD2_scaffold_6	1431967	1435630	+	3664	7877
random59	HD2_scaffold_1	6466982	6470719	+	3738	12144
random60	HD2_scaffold_4	12177446	12183232	+	5787	13494
random61	HD2_scaffold_225	9155	14419	+	5265	13442
random62	HD2_scaffold_4	3886203	3890311	+	4109	10177
random63	HD2_scaffold_12	6580454	6584612	+	4159	10378
random64	HD2_scaffold_10	4197396	4201573	+	4178	9998
random65	HD2_scaffold_4	2269870	2272878	+	3009	7680
random66	HD2_scaffold_2	2261622	2266452	+	4831	10900
random67	HD2_scaffold_1	19909336	19913499	+	4164	10211
random68	HD2_scaffold_11	6746702	6756374	+	9673	24812
random69	HD2_scaffold_9	6399764	6404203	+	4440	11214
random70	HD2_scaffold_3	6737899	6745851	+	7953	19740
random71	HD2_scaffold_7	12877637	12879687	+	2051	5500
random72	HD2_scaffold_14	9156	13369	+	4214	14385
random73	HD2_scaffold_1	22738670	22744426	+	5757	13856
random74	HD2_scaffold_10	4693434	4696927	+	3494	8970
random75	HD2_scaffold_1	11241149	11259040	+	17892	43534
random76	HD2_scaffold_10	6480685	6495455	+	14771	33262
random77	HD2_scaffold_7	6488358	6492476	+	4119	10246
random78	HD2_scaffold_10	4419677	4423678	+	4002	9992
random79	HD2_scaffold_2	8738574	8742644	+	4071	10289
random80	HD2_scaffold_3	2557514	2571226	+	13713	34203
random81	HD2_scaffold_10	4994083	4998585	+	4503	11213
random82	HD2_scaffold_8	11095442	11103507	+	8066	18724
random83	HD2_scaffold_8	2698700	2712636	+	13937	35815
random84	HD2_scaffold_8	2824068	2834528	+	10461	26036
random85	HD2_scaffold_1	16025172	16026708	+	1537	4321
random86	HD2_scaffold_1	2775278	2782141	+	6864	19502
random87	HD2_scaffold_5	7861430	7868785	+	7356	19143
random88	HD2_scaffold_2	365111	375436	+	10326	21469
random89	HD2_scaffold_6	5866511	5874240	+	7730	18765
random90	HD2_scaffold_8	4647198	4653116	+	5919	13866
random91	HD2_scaffold_5	6272340	6277035	+	4696	11617
random92	HD2_scaffold_5	14768012	14772133	+	4122	9952
random93	HD2_scaffold_5	5629407	5632768	+	3362	8894
random94	HD2_scaffold_3	20440229	20444685	+	4457	8406
random95	HD2_scaffold_1	24669618	24673791	+	4174	10557
random96	HD2_scaffold_8	8227282	8233788	+	6507	14399
random97	HD2_scaffold_4	6552262	6561451	+	9190	21733
random98	HD2_scaffold_5	1456217	1463920	+	7704	18755
random99	HD2_scaffold_3	1796486	1802387	+	5902	13103
random100	HD2_scaffold_3	9077751	9082106	+	4356	10760
random101	HD2_scaffold_3	18164329	18169025	+	4697	11350
random102	HD2_scaffold_3	828877	832711	+	3835	8997
random103	HD2_scaffold_5	6836561	6841547	+	4987	12137
random104	HD2_scaffold_12	4242576	4247771	+	5196	11011
random105	HD2_scaffold_5	565325	573240	+	7916	18833
random106	HD2_scaffold_8	5905922	5909078	+	3157	7923
random107	HD2_scaffold_5	6240729	6245096	+	4368	10510
random108	HD2_scaffold_1	25777579	25782927	+	5349	13098
random109	HD2_scaffold_4	11459478	11469491	+	10014	25135
random110	HD2_scaffold_3	1111690	1115397	+	3708	9217
random111	HD2_scaffold_7	12197379	12201992	+	4614	11898
random112	HD2_scaffold_99	14671	18380	+	3710	356
random113	HD2_scaffold_1	20592011	20597028	+	5018	11473
random114	HD2_scaffold_2	17509791	17513454	+	3664	9226
random115	HD2_scaffold_1	2484972	2488709	+	3738	8695
random116	HD2_scaffold_3	3970044	3975830	+	5787	12195
random117	HD2_scaffold_3	13042165	13047429	+	5265	11765
random118	HD2_scaffold_2	10584965	10589073	+	4109	10459
random119	HD2_scaffold_8	1581861	1586019	+	4159	10162
random120	HD2_scaffold_300	9289	13466	+	4178	9183
random121	HD2_scaffold_2	5295613	5298621	+	3009	7524
random122	HD2_scaffold_1	13672815	13677645	+	4831	11271
random123	HD2_scaffold_6	7534529	7538692	+	4164	7732
random124	HD2_scaffold_5	9233971	9243643	+	9673	24327
random125	HD2_scaffold_1	27840422	27844861	+	4440	11551
