# Program:featureCounts v2.0.1; Command:"featureCounts" "../St3.bam" "-a" "Hd2_IVSPER2.randoms.gff" "-o" "St3.Hd2_IVSPER2.randoms.counts.txt" "-t" "random loci" "-g" "locus" "-C" "-p" "-s" "0" "-O" "-T" "12" 
Geneid	Chr	Start	End	Strand	Length	../St3.bam
random1	HD2_scaffold_6	4699611	4701449	+	1839	1904
random2	HD2_scaffold_11	2077930	2079018	+	1089	1149
random3	HD2_scaffold_1	28423600	28425327	+	1728	3094
random4	HD2_scaffold_1	29139546	29141175	+	1630	2270
random5	HD2_scaffold_4	11982158	12007589	+	25432	22715
random6	HD2_scaffold_2	6875849	6879103	+	3255	3174
random7	HD2_scaffold_3	11948481	11964292	+	15812	13187
random8	HD2_scaffold_7	7185387	7187303	+	1917	2124
random9	HD2_scaffold_4	320891	323361	+	2471	2519
random10	HD2_scaffold_34	14864	41474	+	26611	72362
random11	HD2_scaffold_1	24639844	24653863	+	14020	13954
random12	HD2_scaffold_3	14691829	14693667	+	1839	1969
random13	HD2_scaffold_5	2152136	2153224	+	1089	1368
random14	HD2_scaffold_8	4422868	4424595	+	1728	1744
random15	HD2_scaffold_3	17841947	17843576	+	1630	1662
random16	HD2_scaffold_4	10390933	10416364	+	25432	24156
random17	HD2_scaffold_15	41053	44307	+	3255	16108
random18	HD2_scaffold_2	10399797	10415608	+	15812	13798
random19	HD2_scaffold_3	12333179	12335095	+	1917	1923
random20	HD2_scaffold_7	9098808	9101278	+	2471	2411
random21	HD2_scaffold_5	8240168	8266778	+	26611	26649
random22	HD2_scaffold_69	24293	38312	+	14020	44626
random23	HD2_scaffold_9	12096038	12097876	+	1839	3444
random24	HD2_scaffold_12	3450643	3451731	+	1089	1155
random25	HD2_scaffold_166	10779	12506	+	1728	2378
random26	HD2_scaffold_1	12683527	12685156	+	1630	1907
random27	HD2_scaffold_7	10527115	10552546	+	25432	22868
random28	HD2_scaffold_8	6367114	6370368	+	3255	3357
random29	HD2_scaffold_3	8519535	8535346	+	15812	15558
random30	HD2_scaffold_5	7348523	7350439	+	1917	2051
random31	HD2_scaffold_11	3346209	3348679	+	2471	2338
random32	HD2_scaffold_6	14213298	14239908	+	26611	25044
random33	HD2_scaffold_4	5157868	5171887	+	14020	13656
random34	HD2_scaffold_184	11398	13236	+	1839	18724
random35	HD2_scaffold_3	19988206	19989294	+	1089	445
random36	HD2_scaffold_5	10674600	10676327	+	1728	1788
random37	HD2_scaffold_7	4582875	4584504	+	1630	1696
random38	HD2_scaffold_6	12645970	12671401	+	25432	24991
random39	HD2_scaffold_9	2926802	2930056	+	3255	3110
