# Program:featureCounts v2.0.1; Command:"featureCounts" "../GFP_3.bam" "-a" "Hd2_EVErep.randoms.gff" "-o" "GFP_3.Hd2_EVErep.randoms.counts.txt" "-t" "random loci" "-g" "locus" "-C" "-p" "-s" "0" "-O" "-T" "12" 
Geneid	Chr	Start	End	Strand	Length	../GFP_3.bam
random1	HD2_scaffold_332	738	5755	+	5018	574
random2	HD2_scaffold_7	5992302	5995965	+	3664	842
random3	HD2_scaffold_3	20241332	20245069	+	3738	697
random4	HD2_scaffold_257	6466	12252	+	5787	1618
random5	HD2_scaffold_3	5794084	5799348	+	5265	1415
random6	HD2_scaffold_2	21237658	21241766	+	4109	1067
random7	HD2_scaffold_8	9466517	9470675	+	4159	1185
random8	HD2_scaffold_17	41640	45817	+	4178	902
random9	HD2_scaffold_4	1326821	1329829	+	3009	807
random10	HD2_scaffold_10	4273299	4278129	+	4831	1275
random11	HD2_scaffold_12	4164660	4168823	+	4164	950
random12	HD2_scaffold_4	14377630	14387302	+	9673	2469
random13	HD2_scaffold_193	6282	10721	+	4440	979
random14	HD2_scaffold_1	16330332	16338284	+	7953	1917
random15	HD2_scaffold_1	26011805	26013855	+	2051	470
random16	HD2_scaffold_8	4637727	4641940	+	4214	1111
random17	HD2_scaffold_7	13407392	13413148	+	5757	1405
random18	HD2_scaffold_5	7474149	7477642	+	3494	1000
random19	HD2_scaffold_1	1437395	1455286	+	17892	4326
random20	HD2_scaffold_1	11675024	11689794	+	14771	3343
random21	HD2_scaffold_2	22594845	22598963	+	4119	1086
random22	HD2_scaffold_1	12837097	12841098	+	4002	967
random23	HD2_scaffold_1	18940608	18944678	+	4071	979
random24	HD2_scaffold_4	8083503	8097215	+	13713	3443
random25	HD2_scaffold_7	13609309	13613811	+	4503	1130
random26	HD2_scaffold_2	13909915	13917980	+	8066	2048
random27	HD2_scaffold_5	11100726	11114662	+	13937	3351
random28	HD2_scaffold_40	38274	48734	+	10461	566
random29	HD2_scaffold_2	10171607	10173143	+	1537	373
random30	HD2_scaffold_4	1228545	1235408	+	6864	1641
random31	HD2_scaffold_3	8848893	8856248	+	7356	1814
random32	HD2_scaffold_1	23429177	23439502	+	10326	2475
random33	HD2_scaffold_4	2668543	2676272	+	7730	2033
random34	HD2_scaffold_8	1636673	1642591	+	5919	1509
random35	HD2_scaffold_11	1919705	1924400	+	4696	1042
random36	HD2_scaffold_6	6457432	6461553	+	4122	1186
random37	HD2_scaffold_3	1455178	1458539	+	3362	784
random38	HD2_scaffold_9	5388312	5392768	+	4457	1119
random39	HD2_scaffold_2	13851103	13855276	+	4174	1137
random40	HD2_scaffold_4	11494778	11501284	+	6507	1611
random41	HD2_scaffold_3	10820380	10829569	+	9190	2072
random42	HD2_scaffold_12	6363272	6370975	+	7704	1945
random43	HD2_scaffold_9	1690354	1696255	+	5902	1444
random44	HD2_scaffold_11	2422481	2426836	+	4356	1078
random45	HD2_scaffold_1	2179662	2184358	+	4697	1248
random46	HD2_scaffold_2	11222532	11226366	+	3835	1014
random47	HD2_scaffold_2	11427185	11432171	+	4987	1316
random48	HD2_scaffold_3	13605758	13610953	+	5196	1306
random49	HD2_scaffold_25	40194	48109	+	7916	2998
random50	HD2_scaffold_2	4509436	4512592	+	3157	883
random51	HD2_scaffold_3	3942190	3946557	+	4368	1021
random52	HD2_scaffold_3	20826448	20831796	+	5349	1728
random53	HD2_scaffold_11	1836705	1846718	+	10014	2491
random54	HD2_scaffold_9	12099655	12103362	+	3708	1001
random55	HD2_scaffold_6	5120063	5124676	+	4614	1967
random56	HD2_scaffold_9	6850485	6854194	+	3710	883
random57	HD2_scaffold_9	5825005	5830022	+	5018	1281
random58	HD2_scaffold_6	1431967	1435630	+	3664	691
random59	HD2_scaffold_1	6466982	6470719	+	3738	1043
random60	HD2_scaffold_4	12177446	12183232	+	5787	1387
random61	HD2_scaffold_225	9155	14419	+	5265	1231
random62	HD2_scaffold_4	3886203	3890311	+	4109	1091
