# Program:featureCounts v2.0.1; Command:"featureCounts" "GFP_2.bam" "-a" "Hd2_broadpeaks.gtf" "-o" "GFP_2.Hd2_broadpeaks.counts.txt" "-t" "MACS2 peak" "-g" "peak" "-C" "-p" "-s" "0" "-O" "-T" "12" 
Geneid	Chr	Start	End	Strand	Length	GFP_2.bam
Hd26	HD2_scaffold_1	13517317	13534392	+	17076	606843
Hd38	HD2_scaffold_1	20656417	20681709	+	25293	874223
Hd36	HD2_scaffold_1	20656417	20681709	+	25293	874223
Hd50	HD2_scaffold_1	27241046	27259533	+	18488	83902
Hd49	HD2_scaffold_2	2117165	2135110	+	17946	388553
IVSP_U37	HD2_scaffold_2	2728207	2758008	+	29802	364277
Hd46	HD2_scaffold_2	2728207	2758008	+	29802	364277
Hd43	HD2_scaffold_2	2728207	2758008	+	29802	364277
Hd22	HD2_scaffold_2	5832207	5850065	+	17859	115176
Hd44.1	HD2_scaffold_2	16278981	16302690	+	23710	171015
Hd44.2	HD2_scaffold_2	16278981	16302690	+	23710	171015
Hd30	HD2_scaffold_3	410434	429813	+	19380	849624
Hd48	HD2_scaffold_3	16679121	16706535	+	27415	186836
Hd19	HD2_scaffold_4	6229498	6243248	+	13751	218755
Hd41	HD2_scaffold_4	12113372	12135096	+	21725	525033
Hd45.2	HD2_scaffold_4	12321418	12340715	+	19298	36230
Hd13	HD2_scaffold_5	5869105	5889886	+	20782	270068
Hd40	HD2_scaffold_6	2983699	2997266	+	13568	25460
Hd9	HD2_scaffold_6	7223110	7254609	+	31500	256434
IVSP_U42*	HD2_scaffold_6	9075600	9095671	+	20072	9537
Hd1	HD2_scaffold_6	11702950	11728752	+	25803	435564
Hd31-34	HD2_scaffold_6	11862430	11878832	+	16403	633232
IVSP_U38*	HD2_scaffold_7	4758477	4776797	+	18321	13302
Hd27	HD2_scaffold_7	6688177	6708677	+	20501	1398390
Hd52*	HD2_scaffold_7	6765613	6783734	+	18122	98021
Hd5	HD2_scaffold_7	7078958	7104504	+	25547	339786
Hd47	HD2_scaffold_7	7894307	7912018	+	17712	177252
IVSPER-5	HD2_scaffold_7	9168108	9191030	+	22923	12126
IVSPER-3	HD2_scaffold_7	9243166	9287918	+	44753	467934
IVSP_U39*	HD2_scaffold_7	11738062	11764025	+	25964	42976
IVSPER-4	HD2_scaffold_7	13176550	13216107	+	39558	69745
Hd7	HD2_scaffold_7	13965551	13978603	+	13053	103452
Hd2	HD2_scaffold_7	14079432	14106161	+	26730	600241
Hd6	HD2_scaffold_7	14218171	14238167	+	19997	362421
Hd20	HD2_scaffold_8	1934960	1956552	+	21593	173561
Hd8	HD2_scaffold_8	6818165	6837954	+	19790	320601
Hd4	HD2_scaffold_8	7090110	7114242	+	24133	805129
Hd17	HD2_scaffold_8	9006318	9026009	+	19692	391058
Hd54*	HD2_scaffold_8	9208814	9228042	+	19229	233527
Hd18	HD2_scaffold_8	9360612	9376778	+	16167	530060
IVSP_U40*	HD2_scaffold_9	5714059	5757032	+	42974	203389
Hd39	HD2_scaffold_9	5714059	5757032	+	42974	203389
IVSP_U41*	HD2_scaffold_9	7040265	7060018	+	19754	12842
Hd23.2	HD2_scaffold_10	3545352	3561495	+	16144	42059
Hd23.1	HD2_scaffold_10	3587203	3605012	+	17810	168075
Hd25	HD2_scaffold_10	9393559	9412007	+	18449	282925
Hd10	HD2_scaffold_11	447712	465323	+	17612	270300
Hd11	HD2_scaffold_11	764311	783916	+	19606	411937
Hd16	HD2_scaffold_11	2257264	2292899	+	35636	1646048
Hd12	HD2_scaffold_11	2257264	2292899	+	35636	1646048
Hd29	HD2_scaffold_11	3139131	3193136	+	54006	769539
IVSPER-2	HD2_scaffold_11	3139131	3193136	+	54006	769539
Hd24	HD2_scaffold_11	3139131	3193136	+	54006	769539
Hd33	HD2_scaffold_11	3229681	3277203	+	47523	553863
Hd15	HD2_scaffold_11	3229681	3277203	+	47523	553863
IVSPER-1	HD2_scaffold_11	3229681	3277203	+	47523	553863
Hd14	HD2_scaffold_11	3753870	3770377	+	16508	237831
Hd32	HD2_scaffold_11	3807216	3823379	+	16164	463274
Hd42	HD2_scaffold_11	6039490	6052307	+	12818	91527
Hd21	HD2_scaffold_11	6067122	6086904	+	19783	210751
Hd53*	HD2_scaffold_11	6177710	6199505	+	21796	117418
Hd3	HD2_scaffold_11	6678585	6701155	+	22571	1169703
Hd37	HD2_scaffold_11	6779687	6795693	+	16007	158587
Hd28	HD2_scaffold_12	305632	316324	+	10693	25517
Hd35	HD2_scaffold_12	2935430	2954029	+	18600	556817
