# Program:featureCounts v2.0.1; Command:"featureCounts" "GFP_2.bam" "-a" "Hd2_provirus_loci_IVSPER2.gtf" "-o" "GFP_2.Hd2_provirus_loci_IVSPER2.counts.txt" "-t" "EVE" "-g" "ID" "-C" "-p" "-s" "0" "-T" "12" 
Geneid	Chr	Start	End	Strand	Length	GFP_2.bam
Hd26	HD2_scaffold_1	13523617	13528634	+	5018	601665
Hd38	HD2_scaffold_1	20666612	20670275	+	3664	603134
Hd36	HD2_scaffold_1	20670791	20674528	+	3738	247813
Hd50	HD2_scaffold_1	27247704	27253490	+	5787	79577
Hd49	HD2_scaffold_2	2124324	2129588	+	5265	382180
IVSP_U37	HD2_scaffold_2	2735040	2736878	+	1839	8959
Hd46	HD2_scaffold_2	2737536	2741644	+	4109	66493
Hd43	HD2_scaffold_2	2744162	2748320	+	4159	202427
Hd22	HD2_scaffold_2	5839467	5843644	+	4178	110039
Hd44.1	HD2_scaffold_2	16284645	16287653	+	3009	85199
Hd44.2	HD2_scaffold_2	16289605	16294435	+	4831	73889
Hd30	HD2_scaffold_3	419458	423621	+	4164	835223
Hd48	HD2_scaffold_3	16689745	16699417	+	9673	176930
Hd19	HD2_scaffold_4	6231095	6235534	+	4440	214501
Hd41	HD2_scaffold_4	12119882	12127834	+	7953	517669
Hd45.2	HD2_scaffold_4	12329917	12331967	+	2051	21697
Hd45.1	HD2_scaffold_4	15910208	15914421	+	4214	90646
Hd13	HD2_scaffold_5	5876265	5882021	+	5757	262172
Hd40	HD2_scaffold_6	2988772	2992265	+	3494	23113
Hd9	HD2_scaffold_6	7229774	7247665	+	17892	249971
IVSP_U42*	HD2_scaffold_6	9084542	9085630	+	1089	1188
Hd1	HD2_scaffold_6	11708977	11723747	+	14771	424149
Hd31-34	HD2_scaffold_6	11868292	11872410	+	4119	628118
IVSP_U38*	HD2_scaffold_7	4768418	4770145	+	1728	2591
Hd27	HD2_scaffold_7	6697648	6701649	+	4002	1386727
Hd52*	HD2_scaffold_7	6772399	6776469	+	4071	93385
Hd5	HD2_scaffold_7	7084945	7098657	+	13713	330478
Hd47	HD2_scaffold_7	7900815	7905317	+	4503	172083
IVSPER-5	HD2_scaffold_7	9178274	9179903	+	1630	1958
IVSPER-3	HD2_scaffold_7	9252903	9278334	+	25432	414899
IVSP_U39*	HD2_scaffold_7	11747266	11750520	+	3255	13892
IVSPER-4	HD2_scaffold_7	13191258	13207069	+	15812	50591
Hd7	HD2_scaffold_7	13968918	13976983	+	8066	101907
Hd2	HD2_scaffold_7	14085672	14099608	+	13937	581808
Hd6	HD2_scaffold_7	14221056	14231516	+	10461	357269
similar to Hd2	HD2_scaffold_7	14388343	14389879	+	1537	105846
Hd20	HD2_scaffold_8	1942407	1949270	+	6864	168011
Hd8	HD2_scaffold_8	6823745	6831100	+	7356	314849
Hd4	HD2_scaffold_8	7097009	7107334	+	10326	795982
Hd17	HD2_scaffold_8	9012106	9019835	+	7730	386108
Hd54*	HD2_scaffold_8	9214207	9220125	+	5919	225717
Hd18	HD2_scaffold_8	9364794	9369489	+	4696	524768
IVSP_U40*	HD2_scaffold_9	5723866	5725782	+	1917	3914
Hd39	HD2_scaffold_9	5744955	5749076	+	4122	172059
IVSP_U41*	HD2_scaffold_9	7049476	7051946	+	2471	3253
Hd23.2	HD2_scaffold_10	3553203	3556564	+	3362	33998
Hd23.1	HD2_scaffold_10	3592527	3596983	+	4457	161261
Hd25	HD2_scaffold_10	9399172	9403345	+	4174	276259
Hd10	HD2_scaffold_11	453966	460472	+	6507	265232
Hd11	HD2_scaffold_11	768148	777337	+	9190	405772
Hd16	HD2_scaffold_11	2262941	2270644	+	7704	1490110
Hd12	HD2_scaffold_11	2280031	2285932	+	5902	142242
Hd29	HD2_scaffold_11	3146273	3150628	+	4356	405939
IVSPER-2	HD2_scaffold_11	3155228	3181838	+	26611	199975
Hd24	HD2_scaffold_11	3182748	3187444	+	4697	128849
Hd33	HD2_scaffold_11	3234245	3238079	+	3835	168987
Hd15	HD2_scaffold_11	3249051	3254037	+	4987	246535
IVSPER-1	HD2_scaffold_11	3255266	3269285	+	14020	101542
Hd14	HD2_scaffold_11	3759577	3764772	+	5196	232991
Hd32	HD2_scaffold_11	3811943	3819858	+	7916	459499
Hd42	HD2_scaffold_11	6043764	6046920	+	3157	88751
Hd21	HD2_scaffold_11	6076348	6080715	+	4368	202687
Hd53*	HD2_scaffold_11	6184778	6190126	+	5349	109556
Hd3	HD2_scaffold_11	6685111	6695124	+	10014	1158934
Hd37	HD2_scaffold_11	6786206	6789913	+	3708	154501
Hd28	HD2_scaffold_12	308843	313456	+	4614	24028
Hd35	HD2_scaffold_12	2941876	2945585	+	3710	543753
